#{"t_start": 1734961243.125679, "env_id": "Walker2d-v4"}
r,l,t
-23.303842,11,0.657024
-39.170469,11,0.663053
-39.96775,14,0.67074
-23.473439,23,0.682536
-28.718071,14,0.689824
-20.760436,10,0.694893
-59.23856,26,0.708068
-62.648721,18,0.717126
-35.047045,22,0.728641
-66.170847,23,0.740045
-25.109776,9,0.745499
-43.482764,26,0.759513
-26.350387,18,0.768623
-38.033644,19,0.778207
-25.524231,10,0.783145
-45.786833,12,0.789643
-41.977942,19,0.799366
-31.800117,18,0.809726
-49.416736,27,0.823718
-3.615258,68,0.859676
-65.204038,16,0.867624
-46.064605,21,0.878358
-49.554342,17,0.88683
-33.626891,14,0.89411
-31.331106,13,0.900787
-56.246328,24,0.914126
-60.630095,27,0.928632
-56.914287,18,0.937804
-50.272921,15,0.945453
-39.972481,12,0.952622
-67.081286,25,0.966251
-52.059891,24,0.978427
-11.993897,26,0.991687
-37.891284,19,1.001052
-30.775883,11,1.006644
-23.235306,11,1.012059
-45.329686,12,1.017955
-25.988836,12,1.023859
-49.474837,16,1.031877
-70.168404,33,1.048467
-14.828165,17,1.057729
-26.799438,12,1.064109
-52.68979,21,1.075143
-27.415801,9,1.080511
-24.089562,10,1.086167
-78.61357,29,1.102604
-43.519747,15,1.110965
-47.88556,17,1.120605
-25.258947,9,1.125201
-59.125638,18,1.134133
-25.625046,18,1.143085
-33.516929,12,1.149117
-51.262105,37,1.16891
-56.405496,24,1.180987
-29.037448,22,2.123261
-50.319048,27,2.137854
-78.747247,27,2.151713
-14.028578,23,2.163674
-41.565942,24,2.176455
-17.542965,9,2.181093
-57.491129,36,2.200113
-21.747855,14,2.208322
-12.557397,27,2.223156
-21.572661,14,2.230917
-45.672725,22,2.242481
-36.168244,23,2.254681
-27.228675,16,2.262985
-24.70639,13,2.270041
-27.167039,21,2.28104
-35.925073,21,2.29269
-19.217943,11,2.30016
-46.319941,39,2.329357
-20.14213,19,2.341904
-32.334431,13,2.348936
-15.842148,34,2.366845
-23.14718,24,2.378902
-19.944958,12,2.385063
-32.89127,17,2.393495
-24.86677,15,2.401059
-47.114692,17,2.409385
-20.596193,9,2.413932
-27.339124,16,2.422687
-17.157701,16,2.431609
-52.724269,35,2.450173
-16.069915,18,2.459413
-30.106232,11,2.46497
-22.242054,10,2.469857
-18.253838,10,2.475048
-53.726746,29,2.489323
1.227904,38,2.508559
-32.800877,25,2.521872
-38.420423,21,2.532679
-31.662047,15,2.540134
-18.250735,30,2.555969
-39.146528,39,2.576038
-31.89676,16,2.58413
-15.884093,18,2.593326
-29.867621,22,2.604518
-18.000994,10,2.609628
-5.074986,17,2.618073
-21.809316,13,2.624477
-18.02112,16,2.633236
-21.933797,10,2.638708
-19.600609,14,2.64639
-80.079413,51,3.5553
-14.864808,24,3.568091
-14.794543,13,3.576193
-19.642007,19,3.588715
-14.238225,13,3.596146
-33.491738,19,3.606398
-29.447505,8,3.610523
-7.577484,26,3.624401
14.42093,58,3.654892
-65.182338,46,3.679705
-2.326985,45,3.704427
-18.564961,12,3.710705
-5.932245,32,3.727446
-14.206935,31,3.743688
-24.616615,34,3.761209
-30.96979,41,3.781932
-31.495505,35,3.800979
-38.905962,69,3.835647
-7.713095,39,3.855258
-31.87476,53,3.881617
-34.913492,38,3.901896
19.394884,54,3.929387
-15.49259,42,3.95053
-50.026555,28,3.964575
-15.846691,16,3.972582
-45.952585,64,4.005524
-15.178068,15,4.013672
-14.087413,28,4.028032
-22.122556,15,4.035541
-42.231631,29,4.050452
-14.630992,52,4.076725
-9.850588,33,4.970849
-8.467995,22,4.982461
-16.210724,13,4.98915
-14.248394,18,4.998664
0.266491,33,5.016247
-27.712575,16,5.024677
-14.540323,20,5.035527
1.060708,29,5.050846
-16.706743,23,5.06448
-17.123073,20,5.075452
