#{"t_start": 1734962106.8240829, "env_id": "Walker2d-v4"}
r,l,t
-22.431932,14,0.675829
-59.50684,24,0.692714
-24.703086,12,0.702225
-23.921721,15,0.715128
-70.719109,34,0.738683
-13.340056,12,0.746626
-29.659503,14,0.756869
-42.060738,20,0.771251
-52.808992,23,0.786613
-36.384598,18,0.798703
-58.651438,28,0.817693
-46.759006,24,0.833598
-22.432319,11,0.840484
-59.843399,35,0.86473
-18.275812,9,0.871593
-145.142375,60,0.912582
-61.508739,30,0.932421
-24.577627,13,0.940735
-15.827625,13,0.949332
-26.706875,15,0.95893
-50.150265,20,0.974152
-43.41569,28,0.993062
-39.587274,20,1.006369
-30.82303,17,1.017642
-28.954057,21,1.03128
-35.701402,18,1.042994
-26.200307,14,1.05244
-48.252865,25,1.07004
-14.943583,8,1.075839
-17.495907,13,1.084711
-21.204503,14,1.093991
-32.120211,17,1.105259
-32.865656,19,1.117889
-37.209605,19,1.130789
-71.225699,29,1.149126
-48.747818,25,1.165506
-21.302634,15,1.17674
-15.852226,12,1.185136
-43.860627,23,1.200196
-37.49667,18,1.212376
-74.454385,34,1.247876
-14.487438,7,1.254534
-23.627813,12,1.263264
-28.648464,17,1.274929
-53.791937,26,1.294838
-49.17874,23,1.31099
-48.606492,28,1.330288
-28.460511,12,1.338376
-25.859236,14,1.348071
-26.909374,15,1.358269
-54.395793,31,1.379251
-47.640704,16,1.390763
-49.374141,25,1.408282
-34.266752,16,1.420043
-39.84344,14,1.429831
-17.180319,9,1.435618
-29.618338,15,1.445499
-25.158288,17,1.456543
-77.412189,35,1.479367
-23.549027,12,1.487011
-38.419499,21,1.5028
-79.703724,36,1.527211
-55.197337,25,1.543355
-23.500761,14,1.552778
-20.362,12,1.561689
-22.02577,16,1.572833
-21.535493,10,1.580434
-39.857024,22,1.598249
-37.059617,17,1.611225
-33.892533,24,1.627303
-58.130639,35,1.650316
-45.844938,24,1.666386
-36.694847,21,1.680652
-47.925598,23,1.695981
-35.791359,16,1.707811
-42.25483,20,1.721616
-19.246845,12,1.729643
-18.941376,11,1.737004
-51.464049,23,1.756718
-31.839316,19,1.774156
-70.519063,32,1.802486
-17.590642,13,1.814967
-24.388322,15,1.824752
-23.411495,13,1.833964
-20.600188,16,1.845275
-77.410509,34,1.867802
-27.100636,17,1.878848
-42.355974,25,1.896294
-44.240591,29,1.917093
-48.032008,22,1.933117
-34.278191,17,1.944436
-21.541362,13,1.952677
-52.464425,31,1.973267
-15.494114,10,1.979894
-18.457731,12,1.98781
-27.459645,19,2.000227
-33.597255,24,2.015196
-33.632266,13,2.024639
-19.16755,9,2.032307
-13.888955,9,2.038297
-31.804871,19,2.052268
-26.162111,18,2.066457
-15.382219,10,2.07418
-78.791766,42,2.105681
-32.657046,18,3.958587
-17.405322,9,3.965109
-32.629548,15,3.975361
-43.340094,19,3.988338
-19.267185,12,3.996469
-28.8359,16,4.008067
-13.392016,9,4.015005
-25.983309,10,4.022204
-15.030556,8,4.027762
-27.893183,16,4.038782
-35.721106,19,4.051638
-23.169302,15,4.061862
-43.629554,23,4.0775
-15.719071,14,4.086909
-81.775996,46,4.1209
-34.986943,20,4.135306
-20.994264,13,4.144382
-17.074324,10,4.151134
-30.894314,16,4.162216
-32.070567,17,4.173733
-19.85756,10,4.180341
-16.732793,9,4.186274
-29.520688,16,4.197058
-56.091216,27,4.216633
-17.656625,11,4.225293
-25.251813,18,4.237665
-36.466925,21,4.251906
-16.235959,13,4.260857
-24.858397,15,4.271115
-24.535788,14,4.280713
-39.60245,21,4.294803
-20.564081,13,4.303597
-25.365715,14,4.313187
-28.460388,17,4.325659
-41.272921,23,4.341941
-39.109389,20,4.356235
-62.378024,25,4.373258
-14.77701,10,4.379892
-58.167281,27,4.39815
-16.873108,9,4.404141
-19.651933,11,4.41165
-40.850924,16,4.422384
-17.902127,10,4.429727
-19.18424,9,4.436508
-26.64566,14,4.446271
-29.675711,17,4.457909
-32.062079,18,4.470376
-34.937457,13,4.479445
-29.472114,12,4.487485
-35.861955,22,4.502321
-24.696684,13,4.51102
-39.070898,22,4.52578
-20.520672,11,4.534199
-33.148129,21,4.549894
-59.364754,27,4.5681
-51.491645,23,4.583676
-17.863923,10,4.590436
-17.292206,9,4.596536
-36.393321,17,4.607861
-64.912644,33,4.62992
-68.907971,38,4.657733
-12.338385,11,4.66522
-78.165589,37,4.690077
-17.930667,9,4.696182
-16.085157,10,4.702668
-19.176098,13,4.711163
-23.621214,15,4.721177
-41.345613,21,4.735826
-15.131916,9,4.742514
-24.261214,13,4.75394
-21.777868,13,4.765491
-32.132269,20,4.779567
-47.704647,23,4.795224
-19.72825,11,4.802896
-28.615524,13,4.811601
-31.11719,15,4.821597
-57.207709,29,4.841126
-39.759945,21,4.856885
-24.855019,10,4.864338
-37.6314,20,4.878035
-32.402112,23,4.893689
-28.791341,16,4.904657
-29.204461,16,4.915652
