#{"t_start": 1734960304.328751, "env_id": "Walker2d-v4"}
r,l,t
453.868969,187,0.669483
2493.631012,956,0.988979
2580.631552,1000,2.883715
1778.244218,681,3.127667
2590.611287,1000,3.463292
2387.443797,905,5.315339
1270.44076,473,5.472241
2315.384849,876,5.79095
647.255963,248,7.363317
2559.025313,1000,7.720816
1398.45868,520,7.891048
582.686476,229,7.966699
872.175647,350,9.60274
2417.247711,1000,10.024683
2648.402464,1000,12.709991
936.193723,373,12.847594
695.025292,306,12.946998
2363.086745,942,13.25914
1291.24818,492,15.189834
782.210522,304,15.31261
2546.094159,1000,15.673606
2574.450858,1000,18.216657
149.417363,84,18.252517
874.473811,354,18.41653
931.417599,380,18.564448
575.435539,240,18.644617
2523.272226,1000,20.941926
2609.061731,1000,21.280054
1363.930083,564,22.986203
2325.322612,872,23.302225
259.895686,120,23.379705
2528.615305,1000,24.624423
1669.459156,634,27.971683
2610.276597,1000,28.391755
1098.576837,419,28.550469
1808.157848,669,30.939299
1507.272327,564,31.148425
834.436173,327,31.262563
2626.391138,1000,33.172865
2331.950235,888,33.489576
1214.291807,473,33.659181
1224.082515,496,35.494436
858.435206,358,35.626574
2593.449405,1000,35.969654
936.580891,366,36.092077
1929.573839,721,37.90681
606.752725,236,37.98334
2397.247951,1000,39.192028
2249.03089,859,41.135973
1834.475008,680,41.356473
685.493836,286,41.452793
1021.171453,389,43.472648
1156.417934,440,43.64819
2703.584379,1000,44.00157
259.081202,127,44.046793
2624.189516,1000,46.36326
395.915761,172,46.42728
1250.556928,478,46.601289
994.768167,386,46.729409
2648.27298,1000,48.670123
906.490884,331,48.778096
2438.010304,925,49.086132
2480.977211,1000,51.008856
2215.265163,832,52.079159
108.357575,71,52.101974
1681.99377,631,54.293916
713.187793,271,54.406972
2658.842775,1000,54.812387
1266.143595,473,55.025777
2312.874898,888,57.862626
2653.592189,1000,58.232463
2154.789581,779,60.441014
552.907198,219,60.52139
1674.533845,620,60.74861
1050.099623,374,60.883626
800.454726,328,62.834903
637.514004,291,62.951474
2679.449418,1000,63.323795
2699.354848,1000,65.535624
1332.438206,521,65.776835
1115.163297,403,66.646157
1703.799838,613,66.899344
859.956021,325,69.074958
879.997502,332,69.199693
1525.862543,571,69.394729
905.318228,344,69.505853
601.117894,236,69.583029
568.833048,219,69.655151
1363.319977,513,71.703668
591.655606,222,71.791746
673.742627,258,71.876988
2073.9933,757,72.12268
1240.953232,470,72.275434
903.602566,343,74.359491
2630.900804,1000,74.75802
534.402569,218,74.843098
575.975788,227,74.956377
1534.0951,569,76.948252
2688.44294,1000,77.827778
2623.16567,1000,80.06835
2009.794786,747,81.22096
813.458376,291,81.337654
1196.493943,457,81.510019
1697.572576,610,83.500188
733.793928,269,83.597959
1080.929487,384,83.721401
2795.858005,1000,84.10766
514.438165,215,85.948541
2133.12765,780,86.233468
2338.658908,865,86.523014
917.730926,357,88.21649
732.104597,272,88.318424
2720.928163,1000,88.675645
2726.100776,1000,90.604097
623.871536,250,90.699671
582.714492,229,90.778114
597.818515,266,90.868279
1533.233284,559,91.057601
1046.492564,386,91.190007
812.518375,302,93.015818
675.582456,260,93.948835
671.654402,260,94.101476
2699.341741,1000,94.560273
402.112817,167,94.621557
2407.647428,872,96.569546
631.669308,239,96.654857
474.057032,186,96.718269
1109.779816,447,96.864004
358.444538,149,96.913522
1285.901222,487,98.891349
155.769508,87,98.929729
1796.502193,662,99.230084
681.753021,257,99.342052
122.203636,77,99.374039
1274.784908,460,99.56953
825.615518,310,99.696652
2309.401805,830,101.914285
2170.637508,760,102.225438
2842.353929,1000,104.502897
2425.296331,915,104.835589
679.085446,261,104.949573
565.025279,217,105.029277
2802.55762,1000,108.276053
1704.399073,622,108.517525
2832.509265,1000,110.648777
453.793155,192,110.722422
377.877111,168,110.78271
655.210139,278,110.884382
941.390939,336,111.005723
874.150369,364,111.137452
743.022906,268,111.234372
616.817017,238,112.938261
1147.069212,416,113.093587
746.531697,282,113.185632
1878.937707,649,113.410868
1360.114807,514,115.205361
664.090107,271,115.314592
871.957719,321,115.435522
2151.803775,780,115.697411
401.525339,169,115.755106
791.010181,318,115.857854
857.89434,321,117.881277
2815.531234,1000,118.281053
681.040104,275,118.382104
813.336409,303,118.502235
677.202492,261,119.455109
577.959718,221,121.397272
2709.032707,1000,121.810278
1620.513805,609,122.049004
957.947057,346,124.410715
2235.011357,792,124.70432
650.724385,245,124.809889
2771.144303,1000,127.165606
613.769877,233,127.263046
390.541627,172,127.330798
1566.763146,580,127.567613
2745.68194,1000,129.816894
586.752443,232,129.976831
1518.46408,551,130.254456
948.412361,336,130.393942
515.099835,232,130.495731
498.347972,200,130.571727
2369.076013,836,133.015361
2468.203758,887,133.324238
344.004506,160,133.379018
2810.675187,1000,136.848189
786.031831,296,136.966855
2721.910126,1000,137.369051
456.587989,180,137.436845
2694.371179,1000,140.066527
502.502485,200,140.177911
2620.59073,1000,140.702289
1656.717476,612,142.897275
687.759789,256,142.99289
896.154357,321,143.117724
1722.456779,669,143.365178
1124.592741,403,145.44889
2680.101456,1000,145.846025
2653.836697,1000,148.078679
710.793249,269,148.18723
2555.465512,1000,148.571454
2274.564845,820,151.523558
2340.290056,860,151.852605
1537.543489,565,152.060435
1847.742989,667,154.118391
571.979573,224,154.208089
2725.553419,1000,154.578193
554.280575,223,154.66101
454.29414,186,154.728217
